"expt_id","well_ID","sample","background","rep_ID","condition","control","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","maxgr","dtime","ltime"
"2303_21","B9","BY4742","BY4742",1,"1ug/ml Tunicamycin (pH 7.5)","yes",1.83255362963946,1.95669190507057e-06,0.00487721900150569,2819.22231960468,142.119347182474,2832.91989099452,2933.145,0.0542845220814972,0.00254139894798513,272.742373293845,2024.39555806401
"2303_21","C1","DELHO::KAN (AARON PAPER)","BY4741",1,"YPDA (pH 7.5)","",1.9279920065924,0.00321543341620688,0.0088777116209068,720.298573317122,78.0772354586964,7026.59272300731,7031.475,0.0140723499937836,0.00453085830962828,152.983636475009,242.468961906694
"2303_21","C10","YDL204W-A AAG","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.57635006688118,1.85494883093542e-06,0.00587360837629084,2324.42537631297,118.010452204794,3216.66130171155,3270.6225,0.0354363943668866,0.00305978612046627,226.534520149506,1688.00689880736
"2303_21","C11","DELHO::KAN (AARON PAPER)","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.78929454077699,1.41354483876065e-05,0.0040913519637819,2871.57851007611,169.417636687317,2673.1374042575,2759.22,0.0574854169629771,0.0119237022596348,58.1318759448104,2257.19033755508
"2303_21","C12","YDL204W-A AAG","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.54519738679193,1.04458820014136e-06,0.00632976322032387,2244.48187193701,109.506020436019,3276.61926678605,3320.685,0.0314046044308149,0.00310234120818936,223.427126174974,1630.53930101184
"2303_21","C2","YDL204W-A AAG","BY4741",1,"YPDA (pH 7.5)","",0.827857806525862,0.00334965498001165,0.00298932493165647,1841.86390071072,231.874150989619,2087.82186644915,2072.385,0.0277219645782195,0.00159000937378526,435.939052931368,861.628831231931
"2303_21","C3","DELHO::KAN (AARON PAPER)","BY4741",2,"YPDA (pH 7.5)","",1.95267933218047,0.00371156744006506,0.00922834946453789,678.734686638944,75.1106341630784,7197.69151568981,7199.2125,0.0175628692242281,0.00519403894991371,133.450516494771,258.29691989433
"2303_21","C4","YDL204W-A AAG","BY4741",2,"YPDA (pH 7.5)","",1.84142542148041,0.00295621921726319,0.00631070679319451,1019.34341103325,109.836695519975,6160.30827321375,6163.2675,0.0302376093435809,0.00326596225894789,212.233677428728,364.407180770531
"2303_21","C5","DELHO::KAN (AARON PAPER)","BY4741",1,"DMSO (pH 7.5)","",1.95208667529078,0.00491945383542107,0.0083834442938562,713.421973533204,82.6804778875811,7127.60926278904,7131.285,0.0201983102482197,0.00435459650116748,159.175983440512,208.692431123547
"2303_21","C6","YDL204W-A AAG","BY4741",1,"DMSO (pH 7.5)","",1.90898633285365,0.00253390582024936,0.00669589877454809,989.148392797192,103.518168941663,6444.07590201746,6453.315,0.0312742566954127,0.00324778909231196,213.421241607325,323.899413549327
"2303_21","C7","DELHO::KAN (AARON PAPER)","BY4741",2,"DMSO (pH 7.5)","",1.9296497293432,0.0115039421524339,0.00898027112304498,569.740536779427,77.1855516456742,7322.23653826223,7320.3525,0.0199964919953398,0.00512070986108838,135.361541536864,135.752652885797
"2303_21","C8","YDL204W-A AAG","BY4741",2,"DMSO (pH 7.5)","",1.49286209481978,0.00212688080562314,0.00549965991184549,1191.41334529332,126.034553348836,4737.34022331405,4729.5225,0.046485225034202,0.00312680510486875,221.679048521651,557.1610095551
"2303_21","C9","DELHO::KAN (AARON PAPER)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.91951411362052,0.000169627177928915,0.00375194223912897,2487.74920288297,184.74356383505,3603.81073051172,3720.555,0.0656096852316605,0.00222615432077695,311.365287702979,1562.77432896918
"2303_21","D1","YBR KAN DEL","BY4741",1,"YPDA (pH 7.5)","",1.75,0.010958798036257,0.00612349364464153,827.460089573623,113.194725231159,6188.89958471488,6173.1,0.0399426469131625,0.00380318007207371,182.254630973074,253.391797709303
"2303_21","D10","YDL204W-A ATG","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.8139583809054,4.97603546262312e-05,0.00429886820770081,2443.38171146427,161.239458171402,3485.83306863509,3594.465,0.0631547333694632,0.00274810087542148,252.227706325968,1730.95119300361
"2303_21","D11","YBR KAN DEL","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",31107448.1132404,0.0072465207631516,0.000964128277585339,23005.4362817832,718.936677488533,497.94558223456,514.5075,0.0150347116896402,0.00115994220597631,597.570445310705,2915.29498215761
"2303_21","D12","YDL204W-A ATG","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.82078197797155,9.61151419779589e-05,0.00455466091294362,2162.43912678795,152.184145825243,4010.37961884221,4103.055,0.0553881855788314,0.00247937279238013,279.565534755483,1371.68432512598
"2303_21","D2","YDL204W-A ATG","BY4741",1,"YPDA (pH 7.5)","",1.95727398234531,0.00708968802951569,0.00857147689480508,655.317384371026,80.8667151608425,7260.03663907717,7258.4775,0.0169096168100266,0.00489544160043826,141.590327724039,202.623971318809
"2303_21","D3","YBR KAN DEL","BY4741",2,"YPDA (pH 7.5)","",1.7711476800547,0.0190054956437313,0.00587371686723049,770.18799921691,118.00827248365,6363.68976531417,6353.9775,0.0172649731074629,0.00369733474188638,187.47211949933,178.104557528494
"2303_21","D4","YDL204W-A ATG","BY4741",2,"YPDA (pH 7.5)","",1.98255315737642,0.010725993601444,0.00857498736763719,608.052882018353,80.8336095252977,7447.09312836442,7448.355,0.0166851733069095,0.00443468482428878,156.30134001036,115.988759030833
"2303_21","D5","YBR KAN DEL","BY4741",1,"DMSO (pH 7.5)","",1.75723861737974,0.0241668791377855,0.00577693236397097,739.608385559768,119.985337699797,6366.46577352506,6354.315,0.0222973610546813,0.003831560958797,180.904646438817,164.627200405108
"2303_21","D6","YDL204W-A ATG","BY4741",1,"DMSO (pH 7.5)","",1.9695292918765,0.00773399040713732,0.00879961959440866,629.117007944304,78.770130131577,7357.0503531809,7359.5925,0.0176811896379688,0.00450516786786851,153.856016221631,148.501446431587
"2303_21","D7","YBR KAN DEL","BY4741",2,"DMSO (pH 7.5)","",1.76997095135269,0.0181726179978401,0.00609794631505451,749.183736087558,113.668954226231,6396.8942273543,6387.1425,0.0202364777231731,0.00411968181217656,168.252601089533,208.092486524442
"2303_21","D8","YDL204W-A ATG","BY4741",2,"DMSO (pH 7.5)","",1.95877022196987,0.00801210075763118,0.00875273958750399,627.805763853829,79.1920259514552,7319.38752419249,7316.73,0.017888948396259,0.00514462678519377,134.732257460312,193.670887894884
"2303_21","D9","YBR KAN DEL","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",47539514.3460354,0.011614246885531,0.000833553191071015,26552.1082465647,831.557227522979,515.999250040825,528.93,0.0163078961292857,0.00133407403386136,519.571750117714,3110.08773850655
"2303_21","E1","YBR KAN DEL","BY4742",1,"YPDA (pH 7.5)","",1.69928656608022,0.00561919858335346,0.00652447128277463,874.931039834729,106.238061372105,5929.76462195328,5922.9675,0.0187908380402954,0.00438820772356864,157.956784232688,377.966641447219
"2303_21","E10","YBR196C-A AAG","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.94590265065865,0.00065707103146929,0.00554059642365531,1442.64372468045,125.10335125666,5686.50224333689,5739.4575,0.0476069417144715,0.00279238253645453,248.227874050534,709.446783800387
"2303_21","E11","YBR KAN DEL","BY4742",2,"1ug/ml Tunicamycin (pH 7.5)","",1.95769178864621,1.63737447889245e-05,0.00444616816662585,2629.58771506216,155.897652671551,3397.59488605068,3458.0475,0.0328827020615684,0.00243690603155152,284.437385596947,1747.76821032134
"2303_21","E12","YBR196C-A AAG","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.84690919274149,0.00043765847376155,0.00577630274382554,1445.10227412862,119.998416166963,5392.7101906481,5430.1275,0.0357106254734706,0.00261460096593852,265.106297132855,673.845285239265
"2303_21","E2","YBR196C-A AAG","BY4741",1,"YPDA (pH 7.5)","",1.9409163367114,0.00356861364856801,0.00778753020195195,808.587294515561,89.007318441758,6902.24085120771,6912.1125,0.0237441404280911,0.0039384728183977,175.99389725938,269.377648056571
"2303_21","E3","YBR KAN DEL","BY4742",2,"YPDA (pH 7.5)","",1.70546751570189,0.0076028359728585,0.00605023827248988,893.949146161774,114.565269885593,5918.5050498696,5913.855,0.018503156250546,0.00390518443146217,177.494096047192,350.05024764611
"2303_21","E4","YBR196C-A AAG","BY4741",2,"YPDA (pH 7.5)","",1.92452163169286,0.00466770286950248,0.00751847062315856,800.60661606963,92.1925768287101,6859.1305857108,6865.56,0.0266397717667934,0.00371681524595423,186.489544056417,213.28112784864
"2303_21","E5","YBR KAN DEL","BY4742",1,"DMSO (pH 7.5)","",1.70890994881635,0.0175172755445404,0.00540621878404712,845.344990680606,128.212935555866,6011.51653380995,5997.69,0.0260753583033858,0.00385061402624558,180.00951947806,257.816434988539
"2303_21","E6","YBR196C-A AAG","BY4741",1,"DMSO (pH 7.5)","",1.67020304951462,0.0636048520899869,0.00410309240848236,787.012385322538,168.932871004074,5960.16142705776,5935.545,0.101299563212724,0.00495265563606785,139.954648878085,267.975953419591
"2303_21","E7","YBR KAN DEL","BY4742",2,"DMSO (pH 7.5)","",1.68192096381147,0.021912435359623,0.00548955010447043,788.320287872678,126.266664365715,6011.67469613251,6002.1,0.020319300178882,0.00370230906529786,187.220236975051,203.035288271798
"2303_21","E8","YBR196C-A AAG","BY4741",2,"DMSO (pH 7.5)","",1.85246987195013,0.00306775896802957,0.00848988472664518,754.035016091502,81.6438859746268,6688.84219899844,6702.2325,0.0342304723397141,0.00427362191777638,162.191975307118,280.966273792769
"2303_21","E9","YBR KAN DEL","BY4742",1,"1ug/ml Tunicamycin (pH 7.5)","",2.00357287971016,1.03818300479607e-05,0.00415024134995659,2932.45120206147,167.013704050536,2871.4755354225,2946.3075,0.0406320486124771,0.00216005231996534,320.893699728101,1951.3428726508
"2303_21","F1","YBR KAN DEL (AARON PAPER)","BY4741",1,"YPDA (pH 7.5)","",1.77753118707184,0.0131908781545381,0.00592056359460018,826.949413988842,117.074526687312,6286.75897362102,6273,0.028583318697201,0.00446347509432906,155.293166403147,301.934518130589
"2303_21","F10","YBR196C-A ATG","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.79335351237163,2.43655587164901e-05,0.00414103482536094,2706.18678046425,167.385016014573,2975.28248651338,3055.3425,0.0479374858283527,0.00223544490109266,310.07124363528,1706.14323571153
"2303_21","F11","YBR KAN DEL (AARON PAPER)","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.86862083711462,4.03209964207427e-06,0.00490537203302816,2659.61923123272,141.303692338307,3186.79787139391,3266.325,0.053968929123792,0.0107019368641446,64.7683862612051,1777.96064021861
"2303_21","F12","YBR196C-A ATG","BY4741",2,"1ug/ml Tunicamycin (pH 7.5)","",1.82172972402089,0.000155693802336977,0.00428217256089893,2187.51583009443,161.868110334731,3966.78923179861,4013.145,0.029520741633122,0.0042144920229944,164.467550722154,1477.16971365981
"2303_21","F2","YBR196C-A ATG","BY4741",1,"YPDA (pH 7.5)","",1.77915820246546,0.00998549360334072,0.00532021934124679,973.105352990234,130.285451801975,6032.83500608302,6019.83,0.0320729347153789,0.00404743724077665,171.255819256864,400.357233119807
"2303_21","F3","YBR KAN DEL (AARON PAPER)","BY4741",2,"YPDA (pH 7.5)","",1.79563117607114,0.0285929917197051,0.00523141623881191,788.294842258131,132.497042658828,6416.93367603333,6399.3825,0.0345384746175519,0.00433723855886797,159.813017234832,226.382492247393
"2303_21","F4","YBR196C-A ATG","BY4741",2,"YPDA (pH 7.5)","",1.79814123663856,0.0270554427205968,0.00535942179875506,780.207276588134,129.332455363181,6440.87705671091,6427.3725,0.0304986172693317,0.00408583089028132,169.646566187721,189.078880982531
"2303_21","F5","YBR KAN DEL (AARON PAPER)","BY4741",1,"DMSO (pH 7.5)","",1.64197973590067,0.0666203740516093,0.00335625930908056,942.486248149729,206.52372678255,5599.43974174951,5577.165,0.0991557175320905,0.00433726584552011,159.812011817511,303.741057931784
"2303_21","F6","YBR196C-A ATG","BY4741",1,"DMSO (pH 7.5)","",1.76917627642284,0.028776339416036,0.00522524704899869,785.095264348494,132.653475340036,6327.93007960748,6313.9725,0.0327715775100176,0.00373420681459591,185.620993955299,174.476196061622
"2303_21","F7","YBR KAN DEL (AARON PAPER)","BY4741",2,"DMSO (pH 7.5)","",1.77995416196692,0.0384144569632747,0.00538782252790086,707.909549163454,128.650707585575,6502.2454405259,6486.7725,0.0355317427792222,0.00387292813988784,178.972383561968,130.758771489556
"2303_21","F8","YBR196C-A ATG","BY4741",2,"DMSO (pH 7.5)","",1.79907129613879,0.0162998040958124,0.00552202658009488,850.189924517293,125.524057247119,6320.42868697238,6310.575,0.0317651904548793,0.00366876652596618,188.931940927313,261.647961785773
"2303_21","F9","YBR KAN DEL (AARON PAPER)","BY4741",1,"1ug/ml Tunicamycin (pH 7.5)","",1.84634760063831,0.000148148848800064,0.00357337287924166,2639.08149213709,193.97560903497,3187.6863010183,3252.3075,0.0522119463541388,0.00306771619199328,225.948926556197,1760.3524155882
"2303_21","G1","YBR CRSPR (YARC141)","BY4742",1,"YPDA (pH 7.5)","",1.85705914305371,0.000906491289441028,0.0102354484468919,744.904832951501,67.7202551658033,6722.64224309211,6738.525,0.0306813091184502,0.0044260848926589,156.605035233192,273.256281794626
"2303_21","G11","YBR CRSPR (YARC141)","BY4742",2,"1ug/ml Tunicamycin (pH 7.5)","",1.52640456604313,7.03350518127981e-06,0.00516402365613177,2379.48866939983,134.226182278794,3030.70261619578,3120.885,0.0513094144293957,0.00256660473099943,270.063859926743,1691.72306455679
"2303_21","G3","YBR CRSPR (YARC141)","BY4742",2,"YPDA (pH 7.5)","",1.79297289159395,0.00231920091121544,0.00966888476192456,687.68151598542,71.6884312541933,6593.09233801731,6596.1675,0.0240102256096272,0.00500650603765151,138.449284859964,269.123220779156
"2303_21","G5","YBR CRSPR (YARC141)","BY4742",1,"DMSO (pH 7.5)","",1.86570920273311,0.00574671937116785,0.00944307211038434,612.05531217645,73.4027202649132,7001.29393771269,7002.0225,0.0188936875519859,0.00521117545717016,133.011675821859,198.136725724713
"2303_21","G7","YBR CRSPR (YARC141)","BY4742",2,"DMSO (pH 7.5)","",1.87702356139012,0.00884447071512008,0.00944950040413807,566.477249843735,73.3527859585472,7128.97851603043,7128.6975,0.019524441919774,0.00526208087362081,131.724919705195,158.780928828006
"2303_21","G9","YBR CRSPR (YARC141)","BY4742",1,"1ug/ml Tunicamycin (pH 7.5)","",1.8155398387528,7.15598979849184e-06,0.00470758792859094,2643.37914032643,147.240410816376,3125.78623715827,3226.41,0.0542770219426854,0.00236105730619085,293.574907623998,1795.50594122802
"2303_21","H11","YBR CRSPR (YARC142)","BY4742",2,"1ug/ml Tunicamycin (pH 7.5)","",1.72518411786011,4.20602636977433e-05,0.00450537786333469,2357.56396903162,153.848844999408,3463.23262973361,3521.4075,0.0580813154724894,0.00377590590305771,183.571094819561,1725.22921133165
"2303_21","H3","YBR CRSPR (YARC142)","BY4742",2,"YPDA (pH 7.5)","",1.83879399266907,0.00222207957655291,0.00977834001816191,686.948143150851,70.885976481951,6762.95227658931,6771.6,0.0318872305520281,0.00472607198513327,146.664541450144,238.116728631552
"2303_21","H5","YBR CRSPR (YARC142)","BY4742",1,"DMSO (pH 7.5)","",1.77,0.00341101442330435,0.0104354406935106,598.901023074953,66.4224157769383,6665.66800568162,6637.6125,0.0628027245458756,0.00524843714375773,132.067349112553,206.632048214504
"2303_21","H7","YBR CRSPR (YARC142)","BY4742",2,"DMSO (pH 7.5)","",1.742,0.00420211046696107,0.0106267338570598,566.946269642227,65.2267375736957,6615.81369155164,6603.6825,0.0609241129817599,0.00527754991103173,131.33882052182,184.21525314807
"2303_21","H9","YBR CRSPR (YARC142)","BY4742",1,"1ug/ml Tunicamycin (pH 7.5)","",1.7838075124447,5.35355863023239e-05,0.00368646694238738,2824.89555520394,188.024792136359,2748.88834359515,2790.18,0.0587544314011495,0.00398044775297078,174.137992401136,2085.23862832389
